pss_id,player_id,season_id,team_id,games_played,avg_pts,avg_reb,avg_ast,avg_stl,avg_blk,avg_tov,avg_min,fg_pct,fg3_pct,ft_pct,avg_plus_minus,efg_pct,ts_pct,usg_pct,per,bpm
39,283,1,14,76,1.74,0.91,0.45,0.33,0.12,0.28,7.17,0.3237,0.3625,0.7647,-1.55,0.4281,0.4506,0.1332,5.47,-4.71
40,284,1,21,69,10.80,6.32,1.41,0.84,1.01,1.30,27.88,0.4222,0.2974,0.6882,-6.84,0.4838,0.5146,0.1835,15.99,-1.00
41,286,1,30,41,22.63,4.61,6.46,0.88,0.37,3.29,35.10,0.4514,0.3000,0.8325,-2.49,0.4922,0.5393,0.3064,19.25,4.76
42,290,1,18,80,11.91,2.84,1.45,0.54,0.15,0.54,24.70,0.3906,0.3768,0.8167,1.03,0.5318,0.5437,0.1954,12.77,-2.05
43,312,1,3,53,5.25,2.87,1.13,0.89,0.47,0.57,17.90,0.5681,0.4167,0.6000,-0.32,0.6033,0.6086,0.1184,12.59,-2.10
44,312,1,17,9,0.67,1.22,0.67,0.22,0.00,0.11,8.56,0.3750,,,-1.11,0.3750,0.3750,0.0491,4.70,-5.20
45,337,1,7,22,5.32,2.55,0.68,0.27,0.27,0.23,13.89,0.3750,0.3605,0.8000,2.86,0.5240,0.5397,0.1711,11.74,-2.02
46,337,1,30,39,4.97,1.56,0.41,0.28,0.15,0.36,12.84,0.3509,0.3194,0.9333,-0.85,0.4854,0.5266,0.1763,7.74,-5.59
47,340,1,18,60,8.88,4.00,4.47,1.12,0.87,1.22,24.60,0.4060,0.3430,0.7218,1.87,0.5011,0.5389,0.1610,15.64,5.97
48,341,1,9,82,16.11,5.38,2.84,0.89,0.20,1.17,32.98,0.3961,0.3459,0.8268,-6.09,0.4890,0.5293,0.2146,15.46,0.41
49,355,1,28,57,4.33,4.19,0.98,0.53,0.46,0.51,17.38,0.4850,0.0000,0.7465,0.37,0.4850,0.5341,0.1123,12.94,-1.89
50,361,1,12,70,4.99,2.53,0.79,0.30,0.60,0.66,10.42,0.5198,0.2875,0.6809,-0.46,0.5655,0.5948,0.1997,17.72,1.08
51,363,1,24,47,4.47,3.55,0.49,0.26,0.55,0.53,10.77,0.5931,,0.5352,1.11,0.5931,0.5958,0.1719,19.28,0.69
52,364,1,10,77,5.62,3.82,2.06,0.53,0.34,1.13,14.84,0.4678,0.3624,0.7284,1.69,0.5468,0.5733,0.1777,17.31,2.99
53,387,1,13,54,9.89,3.37,4.17,1.28,0.35,2.15,25.20,0.4209,0.3129,0.7607,-0.74,0.4754,0.5140,0.2061,14.49,2.25
54,388,1,25,46,2.07,0.98,0.41,0.28,0.02,0.37,7.59,0.3063,0.2917,0.5455,-4.52,0.4009,0.4100,0.1650,4.96,-6.01
55,404,1,29,69,18.09,4.29,1.74,0.49,0.01,1.71,30.88,0.4547,0.3868,0.8577,3.17,0.5523,0.5986,0.2387,16.02,-2.99
56,405,1,1,65,14.62,3.85,2.98,1.05,0.22,1.08,28.44,0.4307,0.3682,0.8435,2.95,0.5372,0.5624,0.2170,15.94,1.52
57,409,1,8,30,1.10,0.67,0.17,0.03,0.07,0.13,2.69,0.5556,0.2500,0.4000,0.17,0.5741,0.5651,0.1853,17.80,-1.00
58,414,1,18,61,0.82,0.70,0.34,0.10,0.00,0.21,3.95,0.3148,0.2778,0.8462,0.05,0.3611,0.4186,0.1265,6.47,-4.59
59,423,1,28,34,0.35,0.21,0.12,0.24,0.06,0.06,2.02,0.2308,0.2500,0.6250,-0.94,0.2692,0.3632,0.1166,5.09,-2.35
60,427,1,24,78,23.36,4.38,4.22,0.99,0.33,2.08,30.06,0.4659,0.3828,0.8678,6.01,0.5303,0.5763,0.3213,22.76,5.48
61,443,1,13,66,5.20,1.68,0.77,0.39,0.20,0.47,11.52,0.3846,0.3063,0.8194,-0.56,0.4369,0.4808,0.2255,12.59,-1.38
62,446,1,28,81,9.31,6.10,0.31,0.60,0.93,0.52,20.86,0.4645,0.2969,0.7772,2.33,0.5234,0.5696,0.1794,18.28,-0.18
63,447,1,4,59,2.41,0.88,0.44,0.12,0.02,0.25,5.16,0.3475,0.3469,0.8710,-0.85,0.4078,0.4591,0.2367,10.73,-1.26
64,473,1,14,74,5.32,1.84,0.64,0.72,0.12,0.51,19.00,0.4229,0.3905,0.8889,-2.45,0.5400,0.5504,0.1220,7.21,-6.64
65,480,1,5,76,2.14,2.45,0.36,0.13,0.43,0.45,7.22,0.5854,,0.6552,0.92,0.5854,0.6003,0.1370,17.66,-0.72
66,497,1,22,75,2.80,0.96,0.49,0.13,0.04,0.23,7.14,0.4309,0.3103,0.6563,-2.31,0.5027,0.5196,0.1776,10.49,-3.14
67,515,1,24,82,14.17,4.23,2.26,1.17,0.44,0.83,34.81,0.5338,0.3686,0.8344,7.02,0.6008,0.6267,0.1508,15.18,-1.80
68,516,1,4,80,20.16,6.99,3.75,0.93,0.84,1.88,35.46,0.4909,0.3312,0.8018,1.78,0.5544,0.5928,0.2273,20.71,2.99
69,522,1,12,82,7.48,4.37,0.88,0.54,0.35,0.66,19.08,0.4111,0.3502,0.6951,-2.68,0.4931,0.5301,0.1741,14.49,-1.61
70,532,1,12,46,14.93,4.02,4.61,0.65,0.30,1.67,26.23,0.4475,0.3118,0.8563,0.00,0.5009,0.5572,0.2493,20.09,5.68
71,536,1,11,49,5.18,1.65,1.00,0.43,0.16,0.47,14.08,0.3466,0.3005,0.8421,-1.41,0.4741,0.4897,0.1752,8.64,-3.00
72,536,1,28,19,1.79,1.16,0.68,0.37,0.16,0.21,8.08,0.2895,0.2778,1.0000,-0.58,0.4211,0.4372,0.1201,8.01,-1.86
73,537,1,15,32,18.44,3.19,2.75,1.13,0.25,1.56,27.65,0.4316,0.3087,0.8491,6.44,0.4753,0.5152,0.2914,14.85,1.26
74,548,1,3,79,8.19,4.37,1.87,0.97,0.66,0.71,22.46,0.5059,0.4043,0.7578,-0.57,0.5435,0.5753,0.1511,15.78,0.91
75,563,1,2,66,23.62,6.12,3.50,1.06,0.27,2.70,33.65,0.4733,0.3578,0.7579,6.86,0.5415,0.5745,0.3065,20.64,2.08
76,575,1,6,17,5.29,4.35,0.00,0.24,0.41,0.35,10.32,0.6379,,0.5517,-3.00,0.6379,0.6360,0.1980,24.20,1.29
77,575,1,7,55,1.47,1.11,0.02,0.05,0.16,0.25,3.06,0.5400,,0.6279,0.04,0.5400,0.5876,0.2219,17.83,-2.93
78,584,1,7,55,2.91,2.71,0.62,0.25,0.13,0.42,11.42,0.3806,0.3043,0.9333,0.58,0.4710,0.4950,0.1329,10.87,-3.36
79,587,1,25,79,2.85,1.71,0.44,0.33,0.30,0.46,8.10,0.4263,0.3115,0.6769,-3.05,0.4763,0.5146,0.1732,11.36,-2.48
80,588,1,23,36,0.78,0.86,0.14,0.22,0.08,0.14,4.50,0.2647,0.1111,0.9000,0.25,0.2794,0.3646,0.1211,6.38,-5.27
81,589,1,1,5,5.80,2.80,0.80,0.40,0.00,0.00,16.60,0.3600,0.4000,0.8333,-3.80,0.4800,0.5246,0.1446,11.15,-2.32
82,590,1,5,80,3.54,2.54,0.83,0.45,0.06,0.33,13.18,0.4186,0.3534,0.7692,-0.55,0.5097,0.5252,0.1243,12.10,-2.40
83,593,1,7,79,16.27,3.91,4.77,0.84,0.04,1.57,31.95,0.5020,0.3730,0.8404,2.92,0.5486,0.5832,0.2206,17.90,2.91
84,602,1,30,39,5.15,2.77,0.59,0.15,0.54,0.49,11.26,0.5203,0.2857,0.8750,-1.92,0.5608,0.6069,0.1885,18.46,-0.14
85,618,1,7,68,8.57,3.54,1.22,0.60,0.21,0.59,27.96,0.4012,0.3597,0.8333,3.97,0.5419,0.5583,0.1339,9.66,-5.00
86,624,1,7,65,3.29,0.51,0.88,0.18,0.00,0.40,6.79,0.3907,0.3171,0.8696,-0.15,0.4512,0.4753,0.2578,9.74,-0.73
87,626,1,20,81,11.65,4.90,2.95,1.05,0.32,1.12,28.61,0.3915,0.4036,0.8220,1.54,0.4993,0.5591,0.1781,14.39,0.81
88,651,1,29,70,2.30,0.64,0.90,0.24,0.11,0.47,5.14,0.4040,0.3182,0.6875,-0.16,0.4967,0.5094,0.2320,12.26,2.60
89,654,1,16,57,21.39,5.89,5.47,1.65,0.47,2.12,33.88,0.4801,0.2328,0.8703,4.30,0.4964,0.5922,0.2671,24.79,7.29
90,667,1,27,21,2.19,2.00,0.29,0.38,0.33,0.14,5.77,0.6774,,0.5714,-0.05,0.6774,0.6749,0.1292,23.52,4.63
91,677,1,30,77,13.22,3.39,1.88,1.08,0.34,1.26,30.24,0.4355,0.3897,0.8896,-2.97,0.5314,0.5676,0.1906,12.77,-2.94
92,688,1,8,81,4.10,1.44,2.72,0.78,0.28,0.83,14.61,0.3615,0.3005,0.7692,-2.62,0.4595,0.5025,0.1481,11.23,3.17
93,692,1,22,5,10.00,1.20,2.00,1.00,0.60,1.00,28.90,0.3409,0.4054,0.7143,-2.20,0.5114,0.5310,0.1601,7.55,-4.48
94,694,1,1,74,11.08,11.85,1.24,0.74,1.26,0.59,27.59,0.6126,0.0000,0.4734,1.72,0.6126,0.6044,0.1548,25.78,4.91
95,728,1,3,58,2.84,1.16,0.79,0.24,0.17,0.45,9.52,0.3333,0.3307,0.7000,-0.52,0.4540,0.4624,0.1609,7.45,-3.66
96,728,1,17,22,5.09,1.95,2.27,0.45,0.18,0.36,16.05,0.5063,0.5581,1.0000,-1.05,0.6582,0.6786,0.1085,15.38,2.08
97,733,1,22,66,14.11,9.82,2.59,0.55,0.65,1.77,28.05,0.5249,0.3271,0.6908,-2.05,0.5760,0.6006,0.2097,23.27,3.71
98,738,1,5,42,7.24,3.52,3.93,1.69,0.36,1.36,27.31,0.3984,0.3333,0.7945,2.62,0.4805,0.5276,0.1335,11.98,1.45
99,749,1,7,19,1.79,2.00,0.47,0.32,0.16,0.37,9.33,0.4571,0.5000,0.5000,1.11,0.4714,0.4738,0.1080,9.51,-4.37
100,766,1,28,61,1.33,1.18,0.18,0.13,0.07,0.13,4.60,0.4627,0.3571,1.0000,0.85,0.5373,0.5707,0.1210,12.89,-2.84
101,788,1,10,50,1.34,0.72,1.30,0.26,0.00,0.64,7.44,0.2963,0.3208,0.6667,-0.98,0.4012,0.4069,0.1352,5.80,-2.10
102,792,1,7,40,3.85,2.58,0.43,0.33,0.30,0.43,8.64,0.4627,0.3200,0.6667,-0.25,0.4925,0.5184,0.2177,14.79,0.13
103,802,1,11,80,7.34,2.33,1.88,0.81,0.16,1.43,16.67,0.4480,0.2963,0.7345,-3.40,0.5040,0.5339,0.2125,13.60,-1.04
104,810,1,19,58,1.74,1.55,0.31,0.22,0.12,0.17,6.52,0.3750,0.4000,0.7000,-0.31,0.5341,0.5465,0.1172,13.66,-1.87
105,814,1,15,68,9.79,5.03,1.26,0.57,1.00,0.50,18.33,0.6443,0.2273,0.6538,2.59,0.6499,0.6605,0.1773,25.16,4.64
106,816,1,29,81,15.63,3.37,2.40,0.81,0.20,1.59,26.43,0.4187,0.3183,0.8276,4.73,0.5040,0.5321,0.2703,14.83,-0.30
107,820,1,3,57,7.19,4.63,0.75,0.42,0.89,0.67,17.09,0.6742,,0.5806,-0.51,0.6742,0.6723,0.1515,20.10,0.22
108,837,1,13,75,8.25,2.63,1.65,0.51,0.20,0.60,20.90,0.4528,0.3780,0.8632,-0.63,0.5558,0.5981,0.1593,13.84,-1.73
109,857,1,1,54,16.22,7.81,1.81,0.61,1.04,1.11,30.79,0.5264,0.3636,0.7929,0.67,0.5761,0.6097,0.2065,20.48,1.47
110,861,1,27,29,7.52,5.28,2.10,0.45,0.79,1.55,17.31,0.4903,0.3415,0.8000,1.31,0.5355,0.5937,0.1919,19.56,3.06
111,874,1,29,72,13.69,3.01,5.35,1.33,0.29,1.71,28.59,0.4349,0.4082,0.7963,4.82,0.5417,0.5717,0.2102,17.21,5.30
112,877,1,17,66,9.77,4.14,1.24,0.89,0.23,0.53,25.62,0.4577,0.3946,0.8333,-0.39,0.6048,0.6205,0.1415,14.56,-2.20
113,891,1,5,44,1.52,1.20,0.07,0.09,0.09,0.16,4.53,0.6053,,0.6563,-0.61,0.6053,0.6432,0.1311,13.84,-4.46
114,926,1,8,35,7.89,4.91,1.51,0.54,0.37,1.97,12.30,0.4563,0.3243,0.7356,-0.34,0.5146,0.5649,0.3142,20.94,3.13
115,926,1,17,18,8.56,5.44,1.00,0.89,0.44,0.89,15.92,0.4661,0.2708,0.8158,2.78,0.5212,0.5716,0.2246,20.96,3.57
116,928,1,13,23,10.39,5.09,1.04,1.26,1.22,0.74,22.12,0.5000,0.4495,0.8485,3.87,0.6512,0.6770,0.1682,19.84,1.95
117,928,1,25,48,7.60,5.71,1.42,1.54,1.31,1.21,29.81,0.3810,0.3435,0.8333,-1.06,0.4985,0.5187,0.1263,11.22,-2.49
118,935,1,12,54,6.09,3.61,1.07,0.44,0.35,0.72,19.14,0.4555,0.3333,0.7714,-3.67,0.5374,0.5550,0.1411,11.71,-3.33
119,935,1,24,27,6.93,4.26,1.22,0.81,0.63,1.04,20.83,0.4500,0.3229,0.7059,0.52,0.5469,0.5583,0.1497,12.86,-2.21
120,961,1,24,76,8.32,4.66,1.63,1.25,0.39,0.72,24.81,0.3989,0.3479,0.7889,5.20,0.5156,0.5415,0.1470,12.90,-0.85
121,965,1,15,74,1.76,0.65,0.45,0.27,0.07,0.27,4.57,0.3778,0.2553,0.4706,-0.24,0.4222,0.4334,0.2068,8.79,-0.87
122,971,1,9,72,15.47,4.92,4.94,1.08,0.60,3.25,29.00,0.4161,0.3140,0.8452,-3.82,0.4714,0.5041,0.2776,15.56,2.94
123,985,1,3,26,10.92,1.88,1.88,0.65,0.12,0.96,21.87,0.4929,0.4677,0.8571,3.04,0.6303,0.6448,0.1850,14.11,-1.96
124,985,1,23,50,13.52,3.02,3.62,0.72,0.22,1.68,31.31,0.4848,0.4000,0.8767,2.28,0.5795,0.6034,0.1876,13.74,-1.19
125,986,1,10,64,25.47,5.23,6.31,1.33,0.36,3.22,34.55,0.4371,0.3800,0.9228,7.95,0.5535,0.6014,0.3097,23.61,6.96
126,1019,1,14,44,21.07,8.95,2.77,1.11,2.05,1.86,31.91,0.5324,0.1857,0.7131,-2.09,0.5417,0.5777,0.2731,27.00,6.47
127,1033,1,6,79,0.35,0.81,0.09,0.04,0.11,0.06,2.55,0.6875,,0.4286,0.20,0.6875,0.6318,0.0605,11.59,-3.12
128,1054,1,26,40,7.78,2.35,1.00,0.63,0.28,0.83,13.41,0.4232,0.3289,0.8182,1.50,0.5150,0.5430,0.2539,14.89,0.20
129,1076,1,5,76,27.87,5.16,4.92,0.89,0.32,2.38,36.09,0.5042,0.3521,0.8769,1.01,0.5205,0.5897,0.3200,24.08,4.91
130,1079,1,21,35,0.51,0.17,0.14,0.03,0.00,0.06,1.59,0.5714,0.5000,,-0.40,0.6429,0.6429,0.1255,13.02,-3.21
131,1080,1,16,69,6.12,5.59,0.68,0.35,0.61,1.01,15.44,0.5655,0.4043,0.7500,0.70,0.5983,0.6317,0.1710,18.36,-0.61
132,1109,1,17,17,7.18,3.53,1.71,0.65,0.18,1.65,20.06,0.3305,0.2838,0.8519,-1.94,0.4195,0.4697,0.2003,9.58,-3.69
133,1109,1,26,25,10.32,4.40,3.56,1.48,0.20,1.76,26.58,0.3624,0.3681,0.8393,-1.68,0.4839,0.5317,0.1890,14.66,1.86
134,1111,1,21,14,4.00,4.21,0.14,0.36,0.64,0.50,13.41,0.5319,0.0000,0.5455,-1.00,0.5319,0.5401,0.1374,12.89,-3.10
135,1114,1,9,69,9.22,4.01,1.06,1.03,0.25,0.84,18.39,0.4962,0.2473,0.6500,-3.06,0.5181,0.5412,0.2196,16.73,0.30
136,1128,1,1,75,2.05,1.61,0.45,0.15,0.17,0.27,4.95,0.4732,0.4265,0.7308,-0.84,0.6027,0.6238,0.1703,19.42,3.10
137,1139,1,7,23,15.78,3.13,3.91,0.74,0.26,1.35,28.27,0.4979,0.4038,0.7248,2.48,0.5844,0.6238,0.2285,18.87,2.85
138,1139,1,30,44,12.64,4.70,5.82,0.61,0.16,1.66,30.24,0.3760,0.3097,0.8112,-2.36,0.4472,0.5010,0.2105,15.08,4.91
139,1155,1,7,65,28.42,9.12,8.74,1.15,0.55,4.49,35.40,0.4569,0.3533,0.7444,2.25,0.5285,0.5707,0.3773,29.35,12.55
140,1160,1,21,52,16.87,4.08,1.69,0.88,0.35,1.69,32.02,0.4036,0.3325,0.8429,-5.67,0.4931,0.5413,0.2349,12.13,-3.43
141,1161,1,5,78,8.71,2.74,3.28,0.77,0.37,1.38,27.04,0.5196,0.3763,0.6795,-2.55,0.5850,0.5963,0.1424,11.67,-1.55
142,1163,1,5,21,1.38,0.43,0.71,0.05,0.00,0.24,4.06,0.4783,0.2222,0.5556,-0.10,0.5217,0.5378,0.1660,10.29,0.40
143,1176,1,22,5,2.60,2.20,1.40,1.00,0.00,0.80,15.46,0.2632,0.1429,1.0000,-7.80,0.2895,0.3270,0.1355,7.03,-3.18
144,1179,1,8,18,5.39,3.50,1.61,0.61,0.33,0.72,18.93,0.3636,0.3125,0.7692,-5.00,0.4394,0.4631,0.1554,10.17,-1.53
145,1181,1,3,17,6.88,3.00,4.53,0.82,0.18,1.94,23.99,0.3761,0.2449,0.7391,1.65,0.4274,0.4602,0.1701,10.33,1.38
146,1181,1,28,22,1.82,0.64,0.41,0.23,0.05,0.05,4.08,0.3824,0.2857,1.0000,-1.00,0.4412,0.5208,0.1883,15.72,3.29
147,1194,1,3,26,10.85,9.50,1.31,0.85,0.88,1.38,20.58,0.6103,0.0000,0.5366,2.04,0.6103,0.6102,0.2142,27.63,5.80
148,1194,1,23,50,5.96,8.66,1.94,1.12,0.90,1.58,18.05,0.5378,0.0000,0.5122,-0.28,0.5378,0.5436,0.1774,24.13,6.80
149,1196,1,12,62,11.61,3.65,1.84,0.90,0.16,1.45,24.85,0.4316,0.3686,0.8036,-0.85,0.5072,0.5371,0.2122,13.59,-2.14
150,1208,1,3,37,2.81,1.81,0.46,0.38,0.19,0.24,9.21,0.3611,0.2432,0.8095,-0.27,0.4028,0.4435,0.1584,9.90,-2.29
151,1217,1,25,15,7.07,3.27,5.27,1.53,0.20,2.13,22.42,0.4314,0.0909,0.9444,-6.13,0.4363,0.4822,0.1815,14.16,5.92
152,1222,1,3,55,29.87,7.40,6.38,0.87,0.95,3.47,37.23,0.5184,0.3833,0.9095,4.89,0.5700,0.6344,0.3163,29.07,8.06
153,1255,1,18,73,21.00,4.70,3.77,1.44,0.63,2.60,33.78,0.4410,0.3571,0.7857,2.58,0.5273,0.5602,0.2653,17.99,1.77
154,1258,1,9,4,5.75,1.50,3.50,0.50,0.00,1.25,19.80,0.3000,0.2500,1.0000,-3.00,0.3667,0.3778,0.1904,6.86,0.16
155,1267,1,3,59,4.81,2.92,0.53,0.49,0.41,0.71,16.73,0.4120,0.3529,0.8421,-1.02,0.5019,0.5157,0.1384,9.34,-5.47
156,1282,1,25,78,4.35,2.91,1.12,0.45,0.24,0.72,15.06,0.3929,0.2937,0.7143,-4.46,0.4529,0.4914,0.1486,10.40,-2.81
157,1285,1,14,76,3.78,1.01,0.39,0.30,0.07,0.25,10.66,0.4135,0.3886,0.8182,-0.78,0.5865,0.5934,0.1393,9.88,-5.45
158,1303,1,23,70,29.70,11.37,4.06,1.10,1.41,3.06,32.80,0.4993,0.3705,0.8144,5.26,0.5341,0.6161,0.3752,34.79,10.47
159,1329,1,25,23,13.83,8.09,1.52,0.78,0.43,1.52,28.25,0.6462,0.2667,0.7843,-10.96,0.6557,0.6782,0.1787,21.80,-0.01
160,1329,1,27,54,4.22,3.63,0.93,0.24,0.56,0.85,11.01,0.5283,0.1250,0.7468,-1.37,0.5314,0.5884,0.1714,19.86,1.45
161,1350,1,6,24,0.50,0.96,0.08,0.00,0.25,0.13,2.45,0.4167,,0.2857,0.21,0.4167,0.3979,0.1362,17.12,0.40
162,1361,1,21,65,3.17,2.83,0.38,0.26,0.18,0.14,10.04,0.5165,0.1250,0.6400,-2.20,0.5220,0.5337,0.1344,15.59,-0.86
163,1382,1,2,43,0.44,0.35,0.09,0.00,0.07,0.12,1.35,0.5000,1.0000,0.8000,-0.77,0.5357,0.5864,0.1633,14.11,-3.38
164,1382,1,11,27,2.56,1.48,0.11,0.04,0.30,0.33,3.49,0.7073,0.0000,0.5789,0.00,0.7073,0.6989,0.2655,30.13,3.39
165,1400,1,7,81,10.86,4.63,1.85,1.09,0.48,0.99,32.64,0.4711,0.3954,0.6747,2.98,0.5954,0.6040,0.1389,12.20,-3.26
166,1420,1,28,67,2.82,0.94,1.04,0.30,0.06,0.19,8.01,0.3934,0.3333,0.6250,-0.39,0.4754,0.4882,0.1659,11.68,1.61
167,1428,1,8,39,7.69,0.77,0.87,0.21,0.05,0.59,15.65,0.4239,0.4097,0.9211,1.67,0.5453,0.5775,0.2010,9.30,-5.51
