player_id,nba_id,first_name,last_name,birth_date,nationality,height_cm,weight_kg,position_id,jersey_number,is_active,draft_year,draft_round,draft_pick
733,1628976,Wendell,Carter Jr.,1999-04-16,USA,208,122,5,34,t,2018,1,7
3323,1629005,Malik,Newman,1997-02-21,USA,190,86,2,,f,2018,,
3644,1629007,Jontay,Porter,1999-11-15,USA,208,109,5,,f,,,
4162,1629014,Anfernee,Simons,1999-06-08,USA,190,91,2,22,t,2018,1,24
1155,1629029,Luka,Dončić,1999-02-28,Slovenia,203,104,2,77,t,2018,1,3
4292,1629034,Ray,Spalding,1997-03-11,USA,206,102,3,,f,2018,2,56
3416,1629059,Elie,Okobo,1997-10-23,France,190,86,2,2,f,2018,2,31
1766,1629060,Rui,Hachimura,1998-02-08,Japan,203,104,3,28,t,2019,1,9
2876,1629103,Kelan,Martin,1995-08-03,USA,196,104,3,,f,,,
1504,1629117,Wenyen,Gabriel,1997-03-26,South Sudan,206,93,3,,f,,,
3012,1629162,Jordan,McLaughlin,1996-04-09,USA,180,84,2,0,t,,,
1635,1629164,Brandon,Goodwin,1995-10-02,USA,183,82,2,0,f,,,
2360,1629203,Jemerrio,Jones,1995-04-09,USA,196,79,3,,f,2018,,
4558,1629308,Juan,Toscano-Anderson,1993-04-10,USA,198,95,3,,f,,,
1,76001,Alaa,Abdelnaby,,,,,,,f,,,
863,201954,Darren,Collison,1987-08-23,USA,183,73,2,,f,2009,1,21
2901,202083,Wesley,Matthews,1986-10-14,USA,196,100,2,32,f,,,
4135,202697,Iman,Shumpert,1990-06-26,USA,196,96,2,,f,2011,1,17
283,203145,Kent,Bazemore,1989-07-01,USA,193,88,2,9,f,,,
2025,203200,Justin,Holiday,1989-04-05,USA,198,82,2,9,f,,,
1092,203521,Matthew,Dellavedova,1990-09-08,Australia,190,91,2,8,f,,,
3889,203922,Glenn,Robinson III,1994-01-08,USA,198,101,3,,f,2014,2,40
1638,203932,Aaron,Gordon,1995-09-16,USA,203,107,3,32,t,2014,1,4
99,203937,Kyle,Anderson,1993-09-20,USA,203,104,2,12,t,2014,1,30
4678,203943,Noah,Vonleh,1995-08-24,USA,208,117,3,,f,2014,1,9
666,203998,Bruno,Caboclo,1995-09-21,Brazil,206,99,3,,f,2014,1,20
1469,204025,Tim,Frazier,1990-11-01,USA,183,77,2,,f,,,
4875,204222,Greg,Whittington,1993-02-07,USA,203,95,3,,f,,,
2738,1626172,Kevon,Looney,1996-02-06,USA,206,101,3,55,t,2015,1,30
1960,1626195,Willy,Hernangomez,1994-05-27,Spain,211,113,5,9,f,2015,2,35
4412,1626208,Keifer,Sykes,1993-12-30,USA,180,76,2,,f,,,
3973,1627734,Domantas,Sabonis,1996-05-03,Lithuania,208,109,4,11,t,2016,1,11
2592,1627746,Skal,Labissiere,1996-03-18,Haiti,208,107,4,,f,2016,1,28
2644,1627747,Caris,LeVert,1994-08-25,USA,201,93,2,8,t,2016,1,20
2778,1627815,Sheldon,Mac,1992-12-21,USA,198,91,2,9,f,2016,,
4642,1627832,Fred,VanVleet,1994-02-25,USA,183,89,2,5,t,,,
738,1627936,Alex,Caruso,1994-02-28,USA,196,84,2,9,t,,,
3374,1628021,David,Nwaba,1993-01-14,USA,196,99,2,2,f,,,
2170,1628367,Josh,Jackson,1997-02-10,USA,203,94,2,55,f,2017,1,4
1380,1628390,Terrance,Ferguson,1998-05-17,USA,198,86,2,,f,2017,1,21
5000,1628391,D.J.,Wilson,1996-02-19,USA,208,105,3,,f,2017,1,17
1882,1628392,Isaiah,Hartenstein,1998-05-05,Germany,213,113,5,55,t,2017,2,43
307,1628395,Jordan,Bell,1995-01-07,USA,201,98,3,,f,2017,2,38
4521,1628414,Sindarius,Thornwell,1994-11-15,USA,193,98,2,15,f,2017,2,48
446,1628449,Chris,Boucher,1993-01-11,Saint Lucia,203,91,3,,f,,,
3139,1628513,Naz,Mitrou-Long,1993-08-03,Canada,190,99,2,15,f,,,
4786,1628778,Paul,Watson,1994-12-30,USA,198,95,2,,f,,,
60,1628960,Grayson,Allen,1995-10-08,USA,190,90,2,8,t,2018,1,21
548,1628971,Bruce,Brown,1996-08-15,USA,193,92,2,11,t,2018,2,42
3055,1629001,De'Anthony,Melton,1998-05-28,USA,188,91,2,8,t,2018,2,46
4300,1629016,Omari,Spellman,1997-07-21,USA,203,111,3,14,f,2018,1,30
3370,1629134,Kendrick,Nunn,1995-08-03,USA,190,86,2,20,f,,,
4201,1629346,Alen,Smailagic,2000-08-18,Serbia,208,98,3,6,f,2019,2,39
826,1629598,Chris,Clemons,1997-07-23,USA,175,82,2,3,f,,,
120,21,Greg,Anthony,,,,,,,f,,,
56,1629638,Nickeil,Alexander-Walker,1998-09-02,Canada,196,93,2,7,t,2019,1,17
260,1629646,Charles,Bassey,2000-10-28,Nigeria,208,104,5,28,t,2021,2,53
2259,1629661,Cameron,Johnson,1996-03-03,USA,203,95,3,23,t,2019,1,11
4182,1629686,Deividas,Sirvydis,2000-06-10,Lithuania,203,86,2,,f,2019,2,37
3310,1630174,Aaron,Nesmith,1999-10-16,USA,196,98,2,23,t,2020,1,14
3731,1630186,Jahmi'us,Ramsey,2001-06-09,USA,190,86,2,,f,2020,2,43
3457,1630187,Daniel,Oturu,1999-09-20,USA,203,109,5,,f,2020,2,33
4344,1630191,Isaiah,Stewart,2001-05-22,USA,203,113,4,28,t,2020,1,16
414,1630195,Leandro,Bolmaro,2000-09-11,Argentina,198,91,3,,f,2020,1,23
3584,1630196,Filip,Petrusev,2000-04-15,Serbia,211,102,5,,f,2021,2,50
4531,1630214,Xavier,Tillman,1999-01-12,USA,203,111,3,26,t,2020,2,35
2561,1630249,Vít,Krejčí,2000-06-19,Czech Republic,203,88,2,27,t,2020,2,37
2806,1630266,Will,Magnay,1998-06-10,Australia,208,106,5,,f,,,
1196,1630537,Chris,Duarte,1997-06-13,Dominican Republic,196,86,2,,f,2021,1,13
2365,1630539,Kai,Jones,2001-01-19,Bahamas,211,100,5,23,f,2021,1,19
2928,1630540,Miles,McBride,2000-09-08,USA,188,88,2,2,t,2021,2,36
1945,1630565,Aaron,Henry,1999-08-30,USA,196,95,3,,f,,,
4881,1630598,Aaron,Wiggins,1999-01-02,USA,196,86,2,21,t,2021,2,55
2704,1630604,E.J.,Liddell,2000-12-18,USA,198,109,3,9,t,2022,2,41
4003,1630611,Gui,Santos,2002-06-22,Brazil,201,84,3,15,t,2022,2,55
1430,1630758,Aleem,Ford,1997-12-22,USA,203,100,3,,f,,,
2991,1630787,Cameron,McGriff,1997-09-30,USA,201,100,3,,f,,,
236,76108,John,Barnhill,,,,,,,f,,,
237,76109,Norton,Barnhill,,,,,,,f,,,
1350,1629605,Tacko,Fall,1995-12-10,Senegal,229,141,5,,f,,,
497,1629649,Ignas,Brazdeikis,1999-01-08,Canada,198,100,3,17,f,2019,2,47
3365,1629669,Jaylen,Nowell,1999-07-09,USA,193,91,2,,f,2019,2,43
4045,1629678,Admiral,Schofield,1997-03-30,United Kingdom,196,109,3,25,f,2019,2,42
2541,1629723,John,Konchar,1996-03-22,USA,196,95,2,55,t,,,
2874,1629725,Jeremiah,Martin,1996-06-19,USA,188,84,2,3,f,,,
3761,1629729,Josh,Reaves,1997-06-04,USA,193,97,2,23,f,,,
3188,1629752,Juwan,Morgan,1997-04-17,USA,201,105,3,16,f,,,
605,1629783,Shaq,Buchanan,1997-01-30,USA,190,86,2,,f,,,
754,1629958,Ahmad,Caver,1996-09-12,USA,188,79,2,,f,2019,,
692,1629962,Devin,Cannady,1996-05-21,USA,188,83,2,30,f,2019,,
11,1630173,Precious,Achiuwa,1999-09-19,Nigeria,203,110,3,9,t,2020,1,20
2815,1630177,Theo,Maledon,2001-06-12,France,193,79,2,,f,2020,2,34
1704,1630182,Josh,Green,2000-11-16,Australia,198,91,2,10,t,2020,1,18
4235,1630188,Jalen,Smith,2000-03-16,USA,203,111,4,25,t,2020,1,10
2079,1630210,Markus,Howard,1999-03-03,USA,178,79,2,0,f,,,
5046,1630218,Robert,Woodard II,1999-09-22,USA,198,107,3,28,f,2020,2,40
4472,1630271,Brodric,Thomas,1997-01-28,USA,196,84,2,97,f,,,
1079,1630466,Gabriel,Deck,1995-02-08,Argentina,198,105,3,,f,,,
3890,1630526,Jeremiah,Robinson-Earl,2000-11-03,USA,206,109,3,,f,2021,2,32
2131,1630538,Bones,Hyland,2000-09-14,USA,188,77,2,8,t,2021,1,26
4473,1630560,Cam,Thomas,2001-10-13,Japan,190,95,2,,f,2021,1,27
3683,1630563,Joshua,Primo,2002-12-24,Canada,193,86,2,,f,2021,1,12
2822,1630572,Sandro,Mamukelashvili,1999-05-23,Georgia,206,109,4,54,t,2021,2,54
3308,1630612,Ruben,Nembhard Jr.,1999-03-22,USA,193,91,2,5,f,,,
4774,1630613,Duane,Washington Jr.,2000-03-24,Germany,188,89,2,1,f,,,
962,1630622,Jalen,Crutcher,1999-07-18,USA,185,79,2,,f,,,
215,1630625,Dalano,Banton,1999-11-07,Canada,203,92,3,45,t,2021,2,46
4623,1630649,Stanley,Umude,1999-04-12,USA,198,95,2,,f,,,
1246,1630693,Jaime,Echenique,1997-04-27,Colombia,208,117,5,,f,,,
2770,1630994,Gabriel,Lundberg,1994-12-04,Denmark,193,92,2,19,f,,,
354,76167,Joe,Binion,,,,,,,f,,,
1042,1631098,Johnny,Davis,2002-02-27,USA,193,88,2,,f,2022,1,10
3182,1631111,Wendell,Moore Jr.,2001-09-18,USA,196,98,2,14,t,2022,1,26
768,1631113,Kennedy,Chandler,2002-09-16,USA,183,77,2,,f,2022,2,38
4067,1631220,Dereon,Seabron,2000-05-26,USA,196,82,2,0,f,,,
1599,1631221,Collin,Gillespie,1999-06-25,USA,185,88,2,12,t,,,
1426,1631323,Simone,Fontecchio,1995-12-09,Italy,201,95,3,0,t,,,
3096,1641706,Brandon,Miller,2002-11-22,USA,201,91,3,24,t,2023,1,2
1941,1641707,Taylor,Hendricks,2003-11-22,USA,206,98,3,22,t,2023,1,9
4866,1641727,Dariq,Whitehead,2004-08-01,USA,198,100,2,,f,2023,1,22
264,1641734,Emoni,Bates,2004-01-28,USA,203,92,3,21,f,2023,2,49
2714,1641753,Chris,Livingston,2003-10-15,USA,198,100,3,,f,2023,2,58
3596,1641763,Julian,Phillips,2003-11-05,USA,198,91,3,4,t,2023,2,35
474,76233,Bill,Bradley,,,,,,,f,,,
476,76231,Dudley,Bradley,,,,,,,f,,,
4282,1631110,Jeremy,Sochan,2003-05-20,Poland,203,104,3,20,t,2022,1,9
201,1631116,Patrick,Baldwin Jr.,2002-11-18,USA,213,100,3,23,t,2022,1,28
2467,1631117,Walker,Kessler,2001-07-26,USA,218,111,5,24,t,2022,1,22
4940,1631119,Jaylin,Williams,2002-06-29,USA,206,109,3,6,t,2022,2,34
3104,1631159,Leonard,Miller,2003-11-26,Canada,208,100,3,11,t,2023,2,33
1788,1631160,Jordan,Hall,2002-01-14,USA,201,98,2,,f,,,
4011,1631204,Marcus,Sasser,2000-09-21,USA,185,88,2,25,t,2023,1,25
2069,1631216,Caleb,Houstan,2003-01-09,Canada,203,93,2,,f,2022,2,32
2191,1631218,Trayce,Jackson-Davis,2000-02-22,USA,206,111,3,32,t,2023,2,57
655,1631219,John,Butler Jr.,2002-12-04,USA,213,86,3,21,f,,,
806,1631321,Sidy,Cissoko,2004-04-02,France,198,100,2,91,t,2023,2,44
2712,1641726,Dereck,Lively II,2004-02-12,USA,216,104,5,2,t,2023,1,12
4270,1641733,Nick,Smith Jr.,2004-04-18,USA,188,84,2,20,t,2023,1,27
685,1641739,Toumani,Camara,2000-05-08,Belgium,201,104,3,33,t,2023,2,52
4000,1641766,Adama,Sanogo,2002-02-12,Mali,206,111,3,,f,,,
362,1641931,Onuralp,Bitim,1999-03-31,Turkey,198,98,3,17,f,,,
592,76288,Stanley,Brundy,,,,,,,f,,,
594,1594,Rick,Brunson,,,,,,,f,,,
710,76348,Austin,Carr,,,,,,,f,,,
828,1642363,Nique,Clifford,,,,,,,t,,,
947,76471,Charlie,Criss,,,,,,,f,,,
1065,201286,Eric,Dawson,,,,,,,f,,,
1183,1068,Greg,Dreiling,,,,,,,f,,,
1302,2408,Melvin,Ely,,,,,,,f,,,
1421,76727,Mike,Flynn,,,,,,,f,,,
1539,708,Kevin,Garnett,,,,,,,f,,,
1657,101211,Stephen,Graham,,,,,,,f,,,
1776,76917,Lindsay,Hairston,,,,,,,f,,,
1894,76969,Vern,Hatton,,,,,,,f,,,
2012,1641793,D'Moi,Hodge,1998-12-20,British Virgin Islands,190,85,2,,f,,,
2013,1106,Donald,Hodge,,,,,,,f,,,
2132,77092,Marc,Iavaroni,,,,,,,f,,,
2134,1642345,Oso,Ighodaro,,,,,,,t,,,
2250,101161,Amir,Johnson,,,,,,,f,,,
2368,77200,Larry,Jones,,,,,,,f,,,
2487,12,Chris,King,,,,,,,f,,,
2488,77266,Dan,King,,,,,,,f,,,
2605,77333,Jim,Lampley,,,,,,,f,,,
2606,2253,Sean,Lampley,,,,,,,f,,,
2724,77399,Darrell,Lockhart,,,,,,,f,,,
2725,1100,Ian,Lockhart,,,,,,,f,,,
2842,77462,Saul,Mariaschin,,,,,,,f,,,
2961,77518,Scooter,McCray,,,,,,,f,,,
3079,77590,Ed,Mikan,,,,,,,f,,,
3080,600012,George,Mikan,,,,,,,f,,,
3199,201043,Randolph,Morris,,,,,,,f,,,
3317,1116,Melvin,Newbern,,,,,,,f,,,
3435,1563,Kevin,Ollie,,,,,,,f,,,
3436,77764,Gene,Ollrich,,,,,,,f,,,
3553,77829,Sam,Pellom,,,,,,,f,,,
3554,2130,Mike,Penberthy,,,,,,,f,,,
3671,77880,Dominic,Pressley,,,,,,,f,,,
3789,202385,Ryan,Reid,,,,,,,f,,,
3906,915,Rodney,Rogers,,,,,,,f,,,
4025,78071,Herm,Schaefer,,,,,,,f,,,
4144,78149,Jack,Sikma,,,,,,,f,,,
4263,1642449,Tolu,Smith,,,,,,,t,,,
4264,380,Tony,Smith,,,,,,,f,,,
4380,78273,Lamont,Strothers,,,,,,,f,,,
4499,240,Brooks,Thompson,,,,,,,f,,,
4617,202775,Edwin,Ubiles,,,,,,,f,,,
4734,101190,Matt,Walsh,,,,,,,f,,,
4853,1751,Jahidi,White,,,,,,,f,,,
4854,200778,James,White,,,,,,,f,,,
4969,78563,Rickey,Williams,,,,,,,f,,,
4970,78565,Rob,Williams,,,,,,,f,,,
5086,78631,Charlie,Yelverton,,,,,,,f,,,
115,203507,Giannis,Antetokounmpo,1994-12-06,Greece,211,110,3,34,t,2013,1,15
81,202329,Al-Farouq,Aminu,1990-09-21,USA,203,100,3,5,f,2010,1,8
117,203648,Thanasis,Antetokounmpo,1992-07-18,Greece,201,99,3,43,t,2014,2,51
105,201583,Ryan,Anderson,1988-05-06,USA,206,109,3,,f,2008,1,21
61,1628386,Jarrett,Allen,1998-04-21,USA,206,110,5,31,t,2017,1,22
52,1629734,Kyle,Alexander,1996-10-21,Canada,208,98,4,17,f,,,
23,203500,Steven,Adams,1993-07-20,New Zealand,211,120,5,12,t,2013,1,12
25,1628389,Bam,Adebayo,1997-07-18,USA,206,116,5,13,t,2017,1,14
96,1626147,Justin,Anderson,1993-11-19,USA,196,105,2,,f,2015,1,21
116,1628961,Kostas,Antetokounmpo,1997-11-20,Greece,208,91,3,37,f,2018,2,60
63,1628443,Kadeem,Allen,1993-01-15,USA,185,91,2,,f,2017,2,53
20,1629121,Jaylen,Adams,1996-05-04,USA,183,102,2,,f,,,
69,1641851,Timmy,Allen,2000-01-09,USA,198,95,3,,f,,,
2,76002,Zaid,Abdul-Aziz,,,,,,,f,,,
3,76003,Kareem,Abdul-Jabbar,,,,,,,f,,,
4,51,Mahmoud,Abdul-Rauf,,,,,,,f,,,
5,1505,Tariq,Abdul-Wahad,,,,,,,f,,,
6,949,Shareef,Abdur-Rahim,,,,,,,f,,,
7,76005,Tom,Abernethy,,,,,,,f,,,
8,76006,Forest,Able,,,,,,,f,,,
9,76007,John,Abramovic,,,,,,,f,,,
10,203518,Alex,Abrines,,,,,,,f,,,
12,101165,Alex,Acker,,,,,,,f,,,
13,76008,Donald,Ackerman,,,,,,,f,,,
14,76009,Mark,Acres,,,,,,,f,,,
15,76010,Charles,Acton,,,,,,,f,,,
16,203112,Quincy,Acy,,,,,,,f,,,
17,76011,Alvan,Adams,,,,,,,f,,,
18,76012,Don,Adams,,,,,,,f,,,
19,200801,Hassan,Adams,,,,,,,f,,,
21,203919,Jordan,Adams,,,,,,,f,,,
22,149,Michael,Adams,,,,,,,f,,,
24,912,Rafael,Addison,,,,,,,f,,,
26,1629061,Deng,Adel,,,,,,,f,,,
27,76015,Rick,Adelman,,,,,,,f,,,
28,202399,Jeff,Adrien,,,,,,,f,,,
29,201167,Arron,Afflalo,,,,,,,f,,,
31,200772,Maurice,Ager,,,,,,,f,,,
32,76016,Mark,Aguirre,,,,,,,f,,,
33,201336,Blake,Ahearn,,,,,,,f,,,
34,76017,Danny,Ainge,,,,,,,f,,,
35,201582,Alexis,Ajinca,,,,,,,f,,,
36,76018,Henry,Akin,,,,,,,f,,,
37,203006,Josh,Akognon,,,,,,,f,,,
38,1629152,DeVaughn,Akoon-Purcell,,,,,,,f,,,
39,202374,Solomon,Alabi,,,,,,,f,,,
40,76019,Mark,Alarie,,,,,,,f,,,
41,76020,Gary,Alcorn,,,,,,,f,,,
43,203128,Furkan,Aldemir,,,,,,,f,,,
44,202332,Cole,Aldrich,,,,,,,f,,,
46,76021,Chuck,Aleksinas,,,,,,,f,,,
47,1626146,Cliff,Alexander,,,,,,,f,,,
48,724,Cory,Alexander,,,,,,,f,,,
49,2042,Courtney,Alexander,,,,,,,f,,,
50,76022,Gary,Alexander,,,,,,,f,,,
51,201570,Joe,Alexander,,,,,,,f,,,
53,1641725,Trey,Alexander,,,,,,,t,,,
55,2349,Victor,Alexander,,,,,,,f,,,
57,76024,Steve,Alford,,,,,,,f,,,
58,1628959,Rawle,Alkins,,,,,,,f,,,
59,76028,Bob,Allen,,,,,,,f,,,
62,706,Jerome,Allen,,,,,,,f,,,
64,202730,Lavoy,Allen,,,,,,,f,,,
65,76027,Lucius,Allen,,,,,,,f,,,
66,2124,Malik,Allen,,,,,,,f,,,
67,76025,Randy,Allen,,,,,,,f,,,
68,951,Ray,Allen,,,,,,,f,,,
70,2754,Tony,Allen,,,,,,,f,,,
71,76029,Odis,Allison,,,,,,,f,,,
72,200984,Lance,Allred,,,,,,,f,,,
73,76030,Darrell,Allums,,,,,,,f,,,
74,201165,Morris,Almond,,,,,,,f,,,
75,308,Derrick,Alston,,,,,,,f,,,
76,1747,Rafer,Alston,,,,,,,f,,,
77,1824,Peter,Aluma,,,,,,,f,,,
79,680,John,Amaechi,,,,,,,f,,,
80,732,Ashraf,Amaya,,,,,,,f,,,
82,200811,Lou,Amundson,,,,,,,f,,,
83,76034,Bob,Anderegg,,,,,,,f,,,
84,2365,Chris,Andersen,,,,,,,f,,,
85,2431,David,Andersen,,,,,,,f,,,
86,101187,Alan,Anderson,,,,,,,f,,,
87,202079,Antonio,Anderson,,,,,,,f,,,
88,76035,Cliff,Anderson,,,,,,,f,,,
89,76036,Daniel,Anderson,,,,,,,f,,,
90,1507,Derek,Anderson,,,,,,,f,,,
91,76037,Dwight,Anderson,,,,,,,f,,,
92,944,Eric,Anderson,,,,,,,f,,,
93,246,Greg,Anderson,,,,,,,f,,,
94,202341,James,Anderson,,,,,,,f,,,
95,76040,Jerome,Anderson,,,,,,,f,,,
97,72,Kenny,Anderson,,,,,,,f,,,
98,76041,Kim,Anderson,,,,,,,f,,,
100,76042,Michael,Anderson,,,,,,,f,,,
101,76043,Mitchell,Anderson,,,,,,,f,,,
102,98,Nick,Anderson,,,,,,,f,,,
103,76045,Richard,Anderson,,,,,,,f,,,
104,76046,Ron,Anderson,,,,,,,f,,,
106,1000,Shandon,Anderson,,,,,,,f,,,
107,335,Willie,Anderson,,,,,,,f,,,
108,76048,Wally,Anderzunas,,,,,,,f,,,
109,101149,Martynas,Andriuskevicius,,,,,,,f,,,
110,76049,Don,Anielak,,,,,,,f,,,
111,1628387,Ike,Anigbogu,,,,,,,f,,,
112,76050,Michael,Ansley,,,,,,,f,,,
113,1512,Chris,Anstey,,,,,,,f,,,
114,1630828,Alex,Antetokounmpo,,,,,,,t,,,
121,201202,Joel,Anthony,,,,,,,f,,,
122,203544,Pero,Antic,,,,,,,f,,,
124,203951,Keith,Appling,,,,,,,f,,,
125,2737,Rafael,Araujo,,,,,,,f,,,
126,76053,Stacey,Arceneaux,,,,,,,f,,,
127,76054,Nate,Archibald,,,,,,,f,,,
128,2425,Robert,Archibald,,,,,,,f,,,
130,76055,Jim,Ard,,,,,,,f,,,
131,2240,Gilbert,Arenas,,,,,,,f,,,
133,76056,Paul,Arizin,,,,,,,f,,,
134,76057,Joe,Arlauckas,,,,,,,f,,,
135,769,B.J.,Armstrong,,,,,,,f,,,
136,76061,Bob,Armstrong,,,,,,,f,,,
137,2220,Brandon,Armstrong,,,,,,,f,,,
138,353,Darrell,Armstrong,,,,,,,f,,,
139,200756,Hilton,Armstrong,,,,,,,f,,,
140,76060,Paul,Armstrong,,,,,,,f,,,
141,1642379,Taran,Armstrong,,,,,,,f,,,
142,76059,Tate,Armstrong,,,,,,,f,,,
143,76062,Jesse,Arnelle,,,,,,,f,,,
144,76063,Jay,Arnette,,,,,,,f,,,
145,76064,Bob,Arnzen,,,,,,,f,,,
146,2306,Carlos,Arroyo,,,,,,,f,,,
147,201589,Darrell,Arthur,,,,,,,f,,,
148,76065,John,Arthurs,,,,,,,f,,,
149,1628503,Jamel,Artis,,,,,,,f,,,
150,201600,Omer,Asik,,,,,,,f,,,
151,355,Vincent,Askew,,,,,,,f,,,
152,173,Keith,Askins,,,,,,,f,,,
153,76068,Don,Asmonga,,,,,,,f,,,
154,76069,Richard,Atha,,,,,,,f,,,
155,1088,Chucky,Atkins,,,,,,,f,,,
156,76070,Alvin,Attles,,,,,,,f,,,
157,76071,Chet,Aubuchon,,,,,,,f,,,
158,278,Stacey,Augmon,,,,,,,f,,,
160,200788,James,Augustine,,,,,,,f,,,
161,1134,Ike,Austin,,,,,,,f,,,
